,latitude,longitude,city,state,status,population,county,countyfips,country
798,37.643950209,-118.962328921,MAMMOTH LAKES,CA,OPEN,17,MONO,06051,USA
799,33.788614943,-117.826413156,ORANGE,CA,OPEN,114,ORANGE,06059,USA
800,33.714934772,-117.93596951,FOUNTAIN VALLEY,CA,OPEN,293,ORANGE,06059,USA
801,37.664801074,-120.958499923,MODESTO,CA,OPEN,23,STANISLAUS,06099,USA
802,36.0397712180001,-118.983418775,PORTERVILLE,CA,OPEN,1226,TULARE,06107,USA
835,39.7545639690001,-121.847648767,CHICO,CA,OPEN,16,BUTTE,06007,USA
836,34.8330659210001,-114.617493964,NEEDLES,CA,OPEN,25,SAN BERNARDINO,06071,USA
837,32.7765863870001,-117.057064596,SAN DIEGO,CA,OPEN,226,SAN DIEGO,06073,USA
838,32.7746316660001,-117.044161793,LA MESA,CA,OPEN,66,SAN DIEGO,06073,USA
839,32.756383661,-117.144645403,SAN DIEGO,CA,OPEN,70,SAN DIEGO,06073,USA
840,32.6853405530001,-117.082336705,NATIONAL CITY,CA,OPEN,227,SAN DIEGO,06073,USA
841,37.7743640780001,-122.425873352,SAN FRANCISCO,CA,OPEN,780,SAN FRANCISCO,06075,USA
844,37.763472349,-122.456850621,SAN FRANCISCO,CA,OPEN,67,SAN FRANCISCO,06075,USA
845,37.7630768510001,-122.457877178,SAN FRANCISCO,CA,OPEN,580,SAN FRANCISCO,06075,USA
846,37.7849197100001,-122.439147211,SAN FRANCISCO,CA,OPEN,140,SAN FRANCISCO,06075,USA
847,33.912693115,-118.09882162,NORWALK,CA,OPEN,117,LOS ANGELES,06037,USA
848,33.989489571,-118.224189855,HUNTINGTON PARK,CA,OPEN,81,LOS ANGELES,06037,USA
849,34.325871722,-118.445764102,SYLMAR,CA,OPEN,355,LOS ANGELES,06037,USA
850,34.0573663500001,-118.362458577,LOS ANGELES,CA,OPEN,17,LOS ANGELES,06037,USA
851,34.0572922740001,-118.360527347,LOS ANGELES,CA,OPEN,204,LOS ANGELES,06037,USA
852,34.0648800160001,-118.239227761,LOS ANGELES,CA,OPEN,138,LOS ANGELES,06037,USA
853,34.202859415,-118.62862367,WEST HILLS,CA,OPEN,225,LOS ANGELES,06037,USA
854,36.8342012480001,-121.386193641,HOLLISTER,CA,OPEN,119,SAN BENITO,06069,USA
855,33.8730376980001,-117.568320926,CORONA,CA,OPEN,160,RIVERSIDE,06065,USA
856,40.5859216490001,-122.416830896,REDDING,CA,OPEN,10,SHASTA,06089,USA
857,37.958706218,-122.552495864,KENTFIELD,CA,OPEN,60,MARIN,06041,USA
858,41.5314890670001,-120.171428084,CEDARVILLE,CA,OPEN,26,MODOC,06049,USA
859,36.8249140890001,-119.78216158,FRESNO,CA,OPEN,27,FRESNO,06019,USA
860,40.7380835070001,-122.939656929,WEAVERVILLE,CA,OPEN,51,TRINITY,06105,USA
862,33.7749859690001,-117.913092884,GARDEN GROVE,CA,OPEN,167,ORANGE,06059,USA
863,33.8253852140001,-117.995073632,ANAHEIM,CA,OPEN,219,ORANGE,06059,USA
864,37.7576162720001,-120.860996573,OAKDALE,CA,OPEN,35,STANISLAUS,06099,USA
865,36.3226068330001,-119.34793469,VISALIA,CA,OPEN,61,TULARE,06107,USA
872,32.7768583530001,-117.057681266,SAN DIEGO,CA,OPEN,80,SAN DIEGO,06073,USA
873,37.768684282,-122.434530253,SAN FRANCISCO,CA,OPEN,223,SAN FRANCISCO,06075,USA
874,37.747717858,-122.420767899,SAN FRANCISCO,CA,OPEN,228,SAN FRANCISCO,06075,USA
875,34.059102925,-118.41186805,LOS ANGELES,CA,OPEN,176,LOS ANGELES,06037,USA
876,37.6658240080001,-120.922231928,MODESTO,CA,OPEN,67,STANISLAUS,06099,USA
877,34.176900695,-118.447490834,VAN NUYS,CA,OPEN,59,LOS ANGELES,06037,USA
878,36.1335482900001,-120.240445956,COALINGA,CA,OPEN,1500,FRESNO,06019,USA
879,41.023889361,-121.424054412,FALL RIVER MILLS,CA,OPEN,121,SHASTA,06089,USA
880,34.027708681,-118.486892397,SANTA MONICA,CA,OPEN,265,LOS ANGELES,06037,USA
882,36.9833689210001,-121.993947054,SANTA CRUZ,CA,OPEN,16,SANTA CRUZ,06087,USA
883,34.366446695,-119.064914805,SANTA PAULA,CA,OPEN,49,VENTURA,06111,USA
