,longitude,latitude
96,-123.525245,42.001047
97,-123.51790816171501,42.000882893156096
98,-123.501997,42.000527
99,-123.498896,42.000474
100,-123.49883,42.000524999999996
101,-123.43477,42.001641
102,-123.381776,41.999268
103,-123.347562,41.999108
104,-123.23110845560201,42.00383094897101
105,-123.230762,42.003845
106,-123.192361,42.005446
107,-123.154908,42.008036
108,-123.145959,42.009246999999995
109,-123.083956,42.005448
110,-123.06565499999999,42.004948
111,-123.045254,42.003049
112,-122.941597,42.003085
113,-122.89396099999999,42.002604999999996
114,-122.876148,42.003246999999995
115,-122.80008,42.004070999999996
116,-122.712942,42.004157
117,-122.634739,42.004858
118,-122.501135,42.00846
119,-122.397984,42.008758
120,-122.378193,42.009518
121,-122.289754518188,42.0077685007884
122,-122.28952699999999,42.007763999999995
123,-122.261127,42.007363999999995
124,-122.161328,42.007636999999995
125,-122.160438,42.007636999999995
126,-122.156666,42.007383999999995
127,-122.155408,42.007428999999995
128,-122.101922,42.005766
129,-122.00031899999999,42.003966999999996
130,-121.846712,42.00307
131,-121.70819900000001,42.000814999999996
132,-121.705045,42.000766
133,-121.689159,42.000583999999996
134,-121.675348,42.000350999999995
135,-121.580865,41.998667999999995
136,-121.52025,41.997983
137,-121.44754015233201,41.9971688011849
138,-121.43961,41.99708
139,-121.434977,41.997022
140,-121.376101,41.997026
141,-121.360253,41.99668
142,-121.340517,41.99622
143,-121.335734,41.996517999999995
144,-121.334385,41.996655
145,-121.309981,41.997612
146,-121.251099,41.997569999999996
147,-121.247616,41.997054
148,-121.126093,41.99601
149,-121.094926,41.994658
150,-121.035195,41.993323
151,-120.879924974291,41.993779694142894
152,-120.879481,41.993781
153,-120.812279,41.994183
154,-120.693941,41.993676
155,-120.692219,41.993677
156,-120.647173,41.993083999999996
157,-120.501069,41.993784999999995
158,-120.328540815297,41.9931316036052
159,-120.326005,41.993122
160,-120.286424,41.993058
161,-120.181563,41.994588
162,-120.001058,41.995138999999995
163,-119.999168,41.99454
164,-119.999276,41.874891
165,-119.998287,41.749891999999996
166,-119.99885499999999,41.624893
167,-119.99828,41.618764999999996
168,-119.999471,41.499894
169,-119.999866,41.183974
170,-119.999358,40.873101
171,-119.999232,40.867453999999995
172,-119.999231,40.865899
173,-119.998479,40.749899
174,-119.997533,40.720991999999995
175,-119.995926,40.499901
176,-119.996155,40.321838
177,-119.996155,40.32125
178,-119.996182,40.263532
179,-119.996183,40.262460999999995
180,-119.997124,40.126363
181,-119.99723399999999,40.091591
182,-119.997175,40.077245
183,-119.997291,40.071802999999996
184,-119.997634,39.956505
185,-119.99973299999999,39.851406
186,-120.000607,39.780778999999995
187,-120.000502,39.779956
188,-120.001151854493,39.734190971706795
189,-120.001319,39.72242
190,-120.00174,39.538852
191,-120.003116,39.445113
192,-120.003117296548,39.445043727450496
193,-120.00443,39.374908
194,-120.00471,39.330487999999995
195,-120.00531557607401,39.3164525335553
196,-120.00532,39.31635
197,-120.005413,39.313848
198,-120.005414,39.313345
199,-120.005142,39.291258
200,-120.00526394636,39.278557317057796
201,-120.005743,39.228663999999995
202,-120.005746,39.22521
203,-120.004504420333,39.1655986798664
204,-120.00340238137,39.112687055111
205,-120.002461,39.067488999999995
206,-120.001014,38.999573999999996
207,-119.904315,38.933324
208,-119.587679,38.714734
209,-119.587066,38.714345
210,-119.585437,38.713212
211,-119.49418299999999,38.649851999999996
212,-119.494022,38.649733999999995
213,-119.450612,38.619963999999996
214,-119.45062300000001,38.619965
215,-119.37599399999999,38.566793
216,-119.370117,38.563280999999996
217,-119.333423,38.538328
218,-119.328411217387,38.5347733644266
219,-119.279262,38.499914
220,-119.250988,38.480779999999996
221,-119.234966,38.468997
222,-119.156982753766,38.414739167545896
223,-119.125982,38.39317
224,-119.097161,38.372853
225,-119.082358,38.361267
226,-119.030078,38.325181
227,-119.000975,38.303675
228,-118.949673,38.26894
229,-118.922518,38.249919
230,-118.859087,38.204808
231,-118.771867,38.141870999999995
232,-118.746598,38.124925999999995
233,-118.714312,38.102185
234,-118.62159,38.034389
235,-118.571958,37.99993
236,-118.500958,37.949019
237,-118.42780036384801,37.8962298945818
238,-118.250947,37.768616
239,-118.052189,37.62493
240,-118.03979799999999,37.615272999999995
241,-118.039849,37.615245
242,-117.975776,37.569293
243,-117.904625,37.515836
244,-117.875927,37.497267
245,-117.83272600000001,37.464929
246,-117.712358,37.374931
247,-117.68061,37.353398999999996
248,-117.581418,37.278936
249,-117.540885,37.249931
250,-117.50090900000001,37.220282
251,-117.500117,37.22038
252,-117.375905,37.126843
253,-117.266046,37.04491
254,-117.244917,37.030243999999996
255,-117.166000489853,36.9712239643835
256,-117.131975,36.945777
257,-117.066728,36.896353999999995
258,-117.000895,36.847694
259,-116.541983,36.499952
260,-116.500882,36.468223
261,-116.48823300000001,36.459097
262,-116.38034,36.374955
263,-116.37587500000001,36.372561999999995
264,-116.250869,36.276979
265,-116.097216,36.158346
266,-116.093601,36.155805
267,-115.912858,36.015359
268,-115.892975,35.999967
269,-115.852908,35.96966
270,-115.845983929593,35.9642074573715
271,-115.750844,35.889286999999996
272,-115.689302,35.842003
273,-115.669005,35.826515
274,-115.64802031181802,35.8096294219517
275,-115.647683,35.809357999999996
276,-115.647202,35.808994999999996
277,-115.627386,35.793845999999995
278,-115.625838,35.792013
279,-115.500832,35.693382
280,-115.412908,35.624981
281,-115.406079,35.618612999999996
282,-115.404537,35.617605
283,-115.393996,35.609344
284,-115.391535,35.607271
285,-115.366825365988,35.587832484379
286,-115.303743,35.538207
287,-115.271342,35.51266
288,-115.160599,35.424313
289,-115.160068,35.424129
290,-115.146788,35.413661999999995
291,-115.145813,35.413182
292,-115.125816,35.39694
